350	0.045
350.1	0.045
350.2	0.0449998
350.3	0.0449996
350.4	0.0449993
350.5	0.0449989
350.6	0.0449985
350.7	0.0449979
350.8	0.0449973
350.9	0.0449966
351	0.0449959
351.1	0.0449951
351.2	0.0449942
351.3	0.0449933
351.4	0.0449923
351.5	0.0449913
351.6	0.0449902
351.7	0.044989
351.8	0.0449879
351.9	0.0449866
352	0.0449854
352.1	0.0449841
352.2	0.0449827
352.3	0.0449814
352.4	0.04498
352.5	0.0449786
352.6	0.0449771
352.7	0.0449757
352.8	0.0449742
352.9	0.0449727
353	0.0449712
353.1	0.0449697
353.2	0.0449682
353.3	0.0449666
353.4	0.0449651
353.5	0.0449636
353.6	0.0449621
353.7	0.0449606
353.8	0.0449591
353.9	0.0449576
354	0.0449561
354.1	0.0449547
354.2	0.0449532
354.3	0.0449518
354.4	0.0449504
354.5	0.0449491
354.6	0.0449478
354.7	0.0449465
354.8	0.0449452
354.9	0.044944
355	0.0449429
355.1	0.0449417
355.2	0.0449407
355.3	0.0449396
355.4	0.0449387
355.5	0.0449378
355.6	0.0449369
355.7	0.0449361
355.8	0.0449354
355.9	0.0449348
356	0.0449342
356.1	0.0449337
356.2	0.0449332
356.3	0.0449329
356.4	0.0449326
356.5	0.0449324
356.6	0.0449323
356.7	0.0449323
356.8	0.0449324
356.9	0.0449325
357	0.0449328
357.1	0.0449332
357.2	0.0449337
357.3	0.0449342
357.4	0.0449349
357.5	0.0449357
357.6	0.0449366
357.7	0.0449377
357.8	0.0449388
357.9	0.0449401
358	0.0449415
358.1	0.044943
358.2	0.0449447
358.3	0.0449465
358.4	0.0449484
358.5	0.0449505
358.6	0.0449527
358.7	0.0449551
358.8	0.0449576
358.9	0.0449602
359	0.044963
359.1	0.044966
359.2	0.0449691
359.3	0.0449724
359.4	0.0449758
359.5	0.0449794
359.6	0.0449832
359.7	0.0449871
359.8	0.0449913
359.9	0.0449956
360	0.0450001
360.1	0.0450047
360.2	0.0450096
360.3	0.0450146
360.4	0.0450198
360.5	0.0450252
360.6	0.0450307
360.7	0.0450364
360.8	0.0450423
360.9	0.0450484
361	0.0450546
361.1	0.0450609
361.2	0.0450675
361.3	0.0450742
361.4	0.045081
361.5	0.045088
361.6	0.0450951
361.7	0.0451024
361.8	0.0451099
361.9	0.0451174
362	0.0451251
362.1	0.045133
362.2	0.045141
362.3	0.0451491
362.4	0.0451574
362.5	0.0451658
362.6	0.0451743
362.7	0.0451829
362.8	0.0451917
362.9	0.0452005
363	0.0452095
363.1	0.0452187
363.2	0.0452279
363.3	0.0452372
363.4	0.0452467
363.5	0.0452562
363.6	0.0452659
363.7	0.0452757
363.8	0.0452855
363.9	0.0452955
364	0.0453055
364.1	0.0453157
364.2	0.0453259
